"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Measure Name","Achievement Measure Rate","Kt/V Comprehensive Measure Score","Kt/V Comprehensive Reason for No Score (See Footnotes File)","State Average Kt/V Comprehensive Measure Score","National Average Kt/V Comprehensive Measure Score"
"FRESENIUS MEDICAL CARE ALBERTVILLE, LLC","012684","-","173 BUSINESS PARK DR","ALBERTVILLE","AL","35951","8","KT/V COMPREHENSIVE","  97.90%","9","-","7","7"
"SPREWELL DIALYSIS, LLC","012685","-","1724 LEIGHTON AVE","ANNISTON","AL","36207","8","KT/V COMPREHENSIVE","  97.98%","9","-","7","7"
"FRESENIUS MEDICAL CARE ANNISTON HOME, LLC","012686","-","2017 QUINTARD AVENUE, SUITE A","ANNISTON","AL","36201","8","KT/V COMPREHENSIVE","  95.65%","6","-","7","7"
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC","012687","-","2024 4TH AVE SOUTH, SUITE 100","BIRMINGHAM","AL","35233","8","KT/V COMPREHENSIVE","  96.81%","7","-","7","7"
"FRESENIUS MEDICAL CARE TRUSSVILLE, LLC","012688","-","3671 ROOSEVELT BLVD","BIRMINGHAM","AL","35235","8","KT/V COMPREHENSIVE","  96.75%","7","-","7","7"
"BIO MEDICAL APPLICATIONS OF ALABAMA INC","012689","-","6004 BOLL WEEVIL CIRCLE","ENTERPRISE","AL","36330","8","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"BIO MEDICAL APPLICATIONS OF ALABAMA INC","012690","-","118 OBRANNAN PARK DRIVE","DOTHAN","AL","36303","8","KT/V COMPREHENSIVE","  98.50%","9","-","7","7"
"BIO MEDICAL APPLICATIONS OF ALABAMA INC","012692","-","2834 SPRING AVENUE SW","DECATUR","AL","35603","8","KT/V COMPREHENSIVE","  93.87%","4","-","7","7"
"RENAL TREATMENT CENTERS SOUTHEAST, LP","012693","-","218 MAIN STREET SUITE 114 & 118","TRUSSVILLE","AL","35173","8","KT/V COMPREHENSIVE","  96.15%","7","-","7","7"
"RENAL TREATMENT CENTERS SOUTHEAST LP","012694","-","1830 LEE AVE SW SUITE B-D","CULLMAN","AL","35055","8","KT/V COMPREHENSIVE","  98.03%","9","-","7","7"
"BIO MEDICAL APPLICATIONS OF ALABAMA","012695","-","8000 CHARLOTTE DRIVE SW","HUNTSVILLE","AL","35802","8","KT/V COMPREHENSIVE","  98.54%","9","-","7","7"
"BIO-MEDICAL APPLICATIONS OF ALABAMA","012696","-","107 SARALAND LOOP","SARALAND","AL","36571","8","KT/V COMPREHENSIVE","  99.61%","10","-","7","7"
"RENAL TREATMENT CENTERS SOUTHEAST LP","012697","-","1218 S EULAULA AVE, SUITE 1234","EUFAULA","AL","36027","8","KT/V COMPREHENSIVE","  99.35%","10","-","7","7"
"PHYSICIANS CHOICE DIALYSIS OF LUVERNE","012698","-","1014 S FOREST AVENUE","LUVERNE","AL","36049","8","KT/V COMPREHENSIVE","  89.54%","0","-","7","7"
"DIALYSIS SERVICES OF DECATUR, LLC","012699","-","2705 HIGHWAY 31 SOUTH","DECATUR","AL","35603","8","KT/V COMPREHENSIVE","  98.46%","9","-","7","7"
"CAPANO DIALYSIS LLC","012700","-","6521 HWY 69 S STE O","TUSCALOOSA","AL","35404","8","KT/V COMPREHENSIVE","  98.82%","10","-","7","7"
"RENAL TREATMENT CENTERS SOUTHEAST LP","012701","-","1510 EASTERN BOULEVARD","MONTGOMERY","AL","36117","8","KT/V COMPREHENSIVE","  98.37%","9","-","7","7"
"CHEROKEE COMMUNITY DIALYSIS, LLC","012702","-","485 NORTHWOOD DRIVE","CENTRE","AL","35960","8","KT/V COMPREHENSIVE","  92.91%","3","-","7","7"
"DIALYSIS CLINIC, INC.","012703","-","208 BROADWAY DR SW","CULLMAN","AL","35055","8","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"FMC ANCHORAGE","022500","-","3950 LAUREL STREET","ANCHORAGE","AK","99508","16","KT/V COMPREHENSIVE","  96.36%","7","-","7","7"
"FMC FAIRBANKS","022502","-","1863 AIRPORT WAY","FAIRBANKS","AK","99701","16","KT/V COMPREHENSIVE","  98.41%","9","-","7","7"
"FMC WASILLA","022503","-","3787 E MERIDIAN LOOP","WASILLA","AK","99654","16","KT/V COMPREHENSIVE","  96.77%","7","-","7","7"
"REIFENSTEIN DIALYSIS CENTER","022504","-","9109 MENDENHALL MALL RD SUITE #6","JUNEAU","AK","99801","16","KT/V COMPREHENSIVE","  96.30%","7","-","7","7"
"LIBERTY DIALYSIS - ALASKA LLC","022506","-","901 EAST DIMOND BOULEVARD SUITE G","ANCHORAGE","AK","99515","16","KT/V COMPREHENSIVE","  95.17%","5","-","7","7"
"FMC COOK INLET","022507","-","9085 BLACKBERRY ST","ANCHORAGE","AK","99502","16","KT/V COMPREHENSIVE","  97.29%","8","-","7","7"
"FMC SOLDOTNA","022508","-","289 N FIREWOOD LANE STE A","SOLDOTNA","AK","99669","16","KT/V COMPREHENSIVE","  99.57%","10","-","7","7"
"DENALI DIALYSIS CENTER","022509","-","360 BONIFACE PKWY SUITE A11","ANCHORAGE","AK","99504","16","KT/V COMPREHENSIVE","  97.28%","8","-","7","7"
"TUDOR DIALYSIS","022510","-","2735 E TUDOR RD","ANCHORAGE","AK","99507","16","KT/V COMPREHENSIVE","  93.55%","3","-","7","7"
"032302 MARICOPA MEDICAL CTR - DIALYSIS","032302","030022","2525 E ROOSEVELT ST","PHOENIX","AZ","85008","15","KT/V COMPREHENSIVE","  96.26%","7","-","7","7"
"032314 PHOENIX CHILDRENS HOSPITAL- DIALYSIS CENTER","032314","033302","1920 E CAMBRIDGE RD STE 102","PHOENIX","AZ","85016","15","KT/V COMPREHENSIVE","  94.01%","6","-","7","7"
"032315 GILA RIVER DIALYSIS EAST","032315","031308","565 W SEED FARM RD","SACATON","AZ","85247","15","KT/V COMPREHENSIVE","  97.13%","8","-","7","7"
"032316 BANNER UNIVERSITY MEDICAL CENTER PEDIATRIC OUTPATI","032316","030064","PO BOX 245148","TUCSON","AZ","85724","15","KT/V COMPREHENSIVE","No Rate","No Score","1","7","7"
"032500 TUCSON WEST DIALYSIS (DVA)","032500","-","1780 W ANKLAM RD","TUCSON","AZ","85745","15","KT/V COMPREHENSIVE","  96.92%","8","-","7","7"
"032501 TUCSON EAST DIALYSIS (DVA)","032501","-","6420 E BROADWAY BLVD STE C300","TUCSON","AZ","85710","15","KT/V COMPREHENSIVE","  96.37%","7","-","7","7"
"032502 YUMA DIALYSIS (DVA)","032502","-","2130 W 24TH ST","YUMA","AZ","85364","15","KT/V COMPREHENSIVE","  97.95%","9","-","7","7"
"032503 PHOENIX ARTIFICIAL KIDNEY CENTER (FMC)","032503","-","13090 N 94TH DR STE 100","PEORIA","AZ","85381","15","KT/V COMPREHENSIVE","  98.51%","9","-","7","7"
"032506 TUBA CITY DIALYSIS UNIT (DVA)","032506","-","500 EDGEWATER DRIVE PO BOX 2910","TUBA CITY","AZ","86045","15","KT/V COMPREHENSIVE","  97.05%","8","-","7","7"
"032508 SOUTH PHOENIX DIALYSIS SERVICES (FMC)","032508","-","1021 S 7TH AVE STE 108","PHOENIX","AZ","85007","15","KT/V COMPREHENSIVE","  99.44%","10","-","7","7"
"032509 EAST VALLEY DIALYSIS (FMC)","032509","-","135 S POWER RD STE 103","MESA","AZ","85206","15","KT/V COMPREHENSIVE","  96.09%","7","-","7","7"
"032513 SELLS DIALYSIS (DVA)","032513","-","HWY 86 - MP 113","SELLS","AZ","85634","15","KT/V COMPREHENSIVE","  96.00%","6","-","7","7"
"032514 DESERT DIALYSIS CENTER (DCI)","032514","-","2022 E PRINCE RD","TUCSON","AZ","85719","15","KT/V COMPREHENSIVE","  88.31%","3","-","7","7"
"032516 CHANDLER DIALYSIS (FMC)","032516","-","912 W CHANDLER BLVD BLDG A-D","CHANDLER","AZ","85225","15","KT/V COMPREHENSIVE","  96.36%","7","-","7","7"
"032517 CENTRAL PHX DIALYSIS (FMC)","032517","-","3421 N 7TH AVE","PHOENIX","AZ","85013","15","KT/V COMPREHENSIVE","  97.52%","8","-","7","7"
"032518 FOUR CORNERS DIALYSIS CLINIC CHINLE (DVA)","032518","-","US HWY 191","CHINLE","AZ","86503","15","KT/V COMPREHENSIVE","  97.68%","8","-","7","7"
"032520 SIERRA VISTA DIALYSIS (DVA)","032520","-","629 N HIGHWAY 90 STE 6 & 7","SIERRA VISTA","AZ","85635","15","KT/V COMPREHENSIVE","  93.53%","3","-","7","7"
"032521 DIALYSIS CENTER OF GLENDALE (FMC)","032521","-","5957 W NORTHERN AVE STE 108","GLENDALE","AZ","85301","15","KT/V COMPREHENSIVE","  97.46%","8","-","7","7"
"032522 PARKER DIALYSIS CENTER (FMC)","032522","-","AGENCY ROAD BLDG 173 RURAL RT 1/AGENCY ROAD","PARKER","AZ","85344","15","KT/V COMPREHENSIVE","  95.48%","6","-","7","7"
"032523 PRESCOTT DIALYSIS (DVA)","032523","-","980 WILLOW CREEK RD STE 101","PRESCOTT","AZ","86301","15","KT/V COMPREHENSIVE","  93.28%","3","-","7","7"
"032524 FLAGSTAFF DIALYSIS CENTER (FMC)","032524","-","5200 E CORTLAND BLVD STE A1-A4","FLAGSTAFF","AZ","86004","15","KT/V COMPREHENSIVE","  97.69%","8","-","7","7"
"032525 DESERT MOUNTAIN DIALYSIS (DVA)","032525","-","9220 E MOUNTAIN VIEW RD STE 105","SCOTTSDALE","AZ","85258","15","KT/V COMPREHENSIVE","  98.32%","9","-","7","7"
"032526 SOUTHWEST MESA DIALYSIS (DSI)","032526","-","1457 W SOUTHERN AVE STE 19","MESA","AZ","85202","15","KT/V COMPREHENSIVE","  97.14%","8","-","7","7"
"032528 THUNDERBIRD DIALYSIS (FMC)","032528","-","5750 W THUNDERBIRD RD BLDG G #750","GLENDALE","AZ","85306","15","KT/V COMPREHENSIVE","  98.32%","9","-","7","7"
"032530 DESERT VALLEY DIALYSIS (FMC)","032530","-","15846 N CAVE CREEK RD STE 2","PHOENIX","AZ","85032","15","KT/V COMPREHENSIVE","  96.41%","7","-","7","7"
"032533 GLOBE DIALYSIS (FMC)","032533","-","2250 HIGHWAY 60 STE O-2","MIAMI","AZ","85539","15","KT/V COMPREHENSIVE","  97.17%","8","-","7","7"
"032535 HOME DIALYSIS OF MESA (FMC)","032535","-","1337 S GILBERT RD STE 106","MESA","AZ","85204","15","KT/V COMPREHENSIVE","  86.68%","0","-","7","7"
"032536 WINSLOW DIALYSIS CENTER (FMC)","032536","-","721 MIKE'S PIKE STREET","WINSLOW","AZ","86047","15","KT/V COMPREHENSIVE","  95.87%","6","-","7","7"
"032537 ESTRELLA DIALYSIS CENTER (FMC)","032537","-","5546 W ROOSEVELT ST STE 1","PHOENIX","AZ","85043","15","KT/V COMPREHENSIVE","  98.73%","10","-","7","7"
"032539 MESA DIALYSIS CENTER (FMC)","032539","-","1525 N GILBERT RD STE 121","GILBERT","AZ","85234","15","KT/V COMPREHENSIVE","  99.45%","10","-","7","7"
"032540 FRESENIUS KIDNEY CARE WESTERN SKIES","032540","-","1041 N ARIZOLA RD","CASA GRANDE","AZ","85122","15","KT/V COMPREHENSIVE","  84.43%","0","-","7","7"
"032541 TEMPE DIALYSIS (FMC)","032541","-","1449 W SOUTHERN AVE","TEMPE","AZ","85282","15","KT/V COMPREHENSIVE","  95.28%","6","-","7","7"
"032542 ARCADIA DIALYSIS CENTER (FMC)","032542","-","4021 N. 30TH STREET","PHOENIX","AZ","85016","15","KT/V COMPREHENSIVE","  96.42%","7","-","7","7"
"032543 NOGALES DIALYSIS (DVA)","032543","-","1605 N. INDUSTRIAL PARK DR. STE H","NOGALES","AZ","85621","15","KT/V COMPREHENSIVE","  97.93%","9","-","7","7"
"032544 LAKE HAVASU DIALYSIS (FMC)","032544","-","2145 MESQUITE AVE","LAKE HAVASU CITY","AZ","86403","15","KT/V COMPREHENSIVE","  98.49%","9","-","7","7"
"032545 SOUTH MOUNTAIN DIALYSIS CENTER (FMC)","032545","-","26 E BASELINE STE 142","PHOENIX","AZ","85042","15","KT/V COMPREHENSIVE","  97.56%","8","-","7","7"
"032546 SUN CITY WEST DIALYSIS (FMC)","032546","-","12213 W BELL ROAD STE 110","SURPRISE","AZ","85374","15","KT/V COMPREHENSIVE","  97.76%","9","-","7","7"
"032547 SUN CITY DIALYSIS (FMC)","032547","-","10050 W BELL RD STE 29-31","SUN CITY","AZ","85351","15","KT/V COMPREHENSIVE","  99.35%","10","-","7","7"
"032549 SAFFORD DIALYSIS (FMC)","032549","-","1250 S 20TH AVE","SAFFORD","AZ","85546","15","KT/V COMPREHENSIVE","  97.59%","8","-","7","7"
"032550 NORTH PHOENIX DIALYSIS (FMC)","032550","-","1957 W DUNLAP AVE STE 6C","PHOENIX","AZ","85021","15","KT/V COMPREHENSIVE","  94.77%","5","-","7","7"
"032551 MESA DIALYSIS (DSI)","032551","-","1337 S GILBERT RD STE 109","MESA","AZ","85204","15","KT/V COMPREHENSIVE","  99.30%","10","-","7","7"
"032552 ARROWHEAD DIALYSIS (FMC)","032552","-","16844 N 59TH AVE","GLENDALE","AZ","85306","15","KT/V COMPREHENSIVE","  99.36%","10","-","7","7"
"032553 PAPAGO DIALYSIS (DVA)","032553","-","5115 EAST THOMAS, SUITE #115","PHOENIX","AZ","85018","15","KT/V COMPREHENSIVE","  96.78%","7","-","7","7"
"032556 SOUTH YUMA DIALYSIS (DVA)","032556","-","7179 E 31ST PL","YUMA","AZ","85365","15","KT/V COMPREHENSIVE","  96.76%","7","-","7","7"
"032557 TUCSON SOUTH DIALYSIS (DVA)","032557","-","3662 S 16TH AVE","TUCSON","AZ","85713","15","KT/V COMPREHENSIVE","  94.51%","5","-","7","7"
"032558 BULLHEAD CITY DIALYSIS (FMC)","032558","-","2650 MIRACLE MILE","BULLHEAD CITY","AZ","86442","15","KT/V COMPREHENSIVE","  96.63%","7","-","7","7"
"032559 FOUR CORNERS DIAL CLINIC KAYENTA (DVA)","032559","-","US HWY 163 N","KAYENTA","AZ","86033","15","KT/V COMPREHENSIVE","  94.37%","4","-","7","7"
"032561 CASA GRANDE DIALYSIS (FMC)","032561","-","1875 E SABIN DR","CASA GRANDE","AZ","85122","15","KT/V COMPREHENSIVE","  98.85%","10","-","7","7"
"032562 COTTONWOOD DIALYSIS (DVA)","032562","-","1699 E COTTONWOOD ST, A-200","COTTONWOOD","AZ","86326","15","KT/V COMPREHENSIVE","  96.14%","7","-","7","7"
"032563 SCOTTSDALE DIALYSIS (FMC)","032563","-","1495 N HAYDEN STE D1-D4","SCOTTSDALE","AZ","85257","15","KT/V COMPREHENSIVE","  99.46%","10","-","7","7"
"032564 MARYVALE DIALYSIS (FMC)","032564","-","4502 W INDIAN SCHOOL RD STE A4-11","PHOENIX","AZ","85031","15","KT/V COMPREHENSIVE","  95.63%","6","-","7","7"
"032565 DESERT DIALYSIS CENTER SOUTH TUCSON (DCI)","032565","-","1011 E PENNSYLVANIA ST","TUCSON","AZ","85719","15","KT/V COMPREHENSIVE","  91.07%","0","-","7","7"
"032568 RED MOUNTAIN DIALYSIS (FMC)","032568","-","1211 N COUNTRY CLUB DR STE 4","MESA","AZ","85201","15","KT/V COMPREHENSIVE","  96.75%","7","-","7","7"
"032571 NORTH SCOTTSDALE DIALYSIS (FMC)","032571","-","16101 N 82ND ST STE 6-7","SCOTTSDALE","AZ","85260","15","KT/V COMPREHENSIVE","  94.48%","5","-","7","7"
"032572 DESERT DIALYSIS SRVS INC-SUN CITY (DVA)","032572","-","13000 N 103RD AVE STE 66","SUN CITY","AZ","85351","15","KT/V COMPREHENSIVE","  96.83%","7","-","7","7"
"032573 PASCUA YAQUI DIALYSIS (DVA)","032573","-","7490 S CAMINO DE OESTE","TUCSON","AZ","85757","15","KT/V COMPREHENSIVE","  99.18%","10","-","7","7"
"032575 SHOW LOW DIALYSIS (FMC)","032575","-","1500 S WHITE MOUNTAIN BLVD STE 204","SHOW LOW","AZ","85901","15","KT/V COMPREHENSIVE","  98.78%","10","-","7","7"
"032577 YAVAPAI DIALYSIS (FMC)","032577","-","3605 RANCH DR","PRESCOTT","AZ","86303","15","KT/V COMPREHENSIVE","  93.18%","3","-","7","7"
"032578 APACHE JUNCTION DIALYSIS (FMC)","032578","-","11540 E UNIVERSITY DR STE 109","APACHE JUNCTION","AZ","85220","15","KT/V COMPREHENSIVE","  96.85%","7","-","7","7"
"032579 SUN LAKES DIALYSIS (FMC)","032579","-","9666 E RIGGS RD STE 143","SUN LAKES","AZ","85248","15","KT/V COMPREHENSIVE","  98.37%","9","-","7","7"
"032580 PALM VALLEY DIALYSIS (FMC)","032580","-","13657 W MCDOWELL RD STE 106","GOODYEAR","AZ","85338","15","KT/V COMPREHENSIVE","  99.00%","10","-","7","7"
"032581 AK-CHIN DIALYSIS (FMC)","032581","-","16536 N MARICOPA RD","MARICOPA","AZ","85139","15","KT/V COMPREHENSIVE","  98.60%","10","-","7","7"
"032583 SOUTH PHOENIX DIALYSIS (DSI)","032583","-","4621 S CENTRAL AVE","PHOENIX","AZ","85040","15","KT/V COMPREHENSIVE","  94.60%","5","-","7","7"
"032587 DEER VALLEY DIALYSIS (FMC)","032587","-","21241 N 23RD AVE STE 11","PHOENIX","AZ","85027","15","KT/V COMPREHENSIVE","  97.07%","8","-","7","7"
"032589 TUCSON SOUTH CENTRAL DIALYSIS (DVA)","032589","-","2024 E IRVINGTON RD","TUCSON","AZ","85714","15","KT/V COMPREHENSIVE","  97.74%","9","-","7","7"
"032592 HOPI DIALYSIS CENTER (DVA)","032592","-","HIGHWAY 264 MP 388","POLACCA","AZ","86042","15","KT/V COMPREHENSIVE","  97.91%","9","-","7","7"
"032593 GRANITE VALLEY DIALYSIS (FMC)","032593","-","14510 W SHUMWAY DR STE 100","SUN CITY WEST","AZ","85375","15","KT/V COMPREHENSIVE","  98.19%","9","-","7","7"
"032594 SALT RIVER DIALYSIS CENTER (FMC)","032594","-","10301 E OSBORN RD BLDG 14","SCOTTSDALE","AZ","85256","15","KT/V COMPREHENSIVE","  99.67%","10","-","7","7"
"032596 NORTHEAST PHOENIX DIALYSIS (DSI)","032596","-","3305 E GREENWAY RD STE 1","PHOENIX","AZ","85032","15","KT/V COMPREHENSIVE","  96.35%","7","-","7","7"
"032597 SAN CARLOS DIALYSIS (FMC)","032597","-","US 70 & AZ ROUTE 170","PERIDOT","AZ","85542","15","KT/V COMPREHENSIVE","  95.62%","6","-","7","7"
"032598 MAMMOTH DIALYSIS (FMC)","032598","-","14786 S HIGHWAY 77 - POB 729","MAMMOTH","AZ","85618","15","KT/V COMPREHENSIVE","  94.03%","4","-","7","7"
"032599 AHWATUKEE DIALYSIS (FMC)","032599","-","15930 48TH STREET","PHOENIX","AZ","85048","15","KT/V COMPREHENSIVE","  95.80%","6","-","7","7"
"032601 PALM BROOK DIALYSIS CENTER (DVA)","032601","-","14664 N DEL WEBB BLVD","SUN CITY","AZ","85351","15","KT/V COMPREHENSIVE","  97.59%","8","-","7","7"
"032604 SOUTHWEST KIDNEY DIALYSIS - ARROWHEAD LAKES (DVA)","032604","-","20325 N 51ST AVE STE 186 BLDG 11","GLENDALE","AZ","85308","15","KT/V COMPREHENSIVE","  94.55%","5","-","7","7"
"032605 SOUTHWEST KIDNEY DIALYSIS - GILBERT (DVA)","032605","-","5222 E BASELINE RD STE 104","GILBERT","AZ","85234","15","KT/V COMPREHENSIVE","  97.50%","8","-","7","7"
"032607 AVONDALE DIALYSIS (FMC)","032607","-","10750 W MCDOWELL RD STE E500","AVONDALE","AZ","85323","15","KT/V COMPREHENSIVE","  99.55%","10","-","7","7"
"032608 AVONDALE DIALYSIS (DSI)","032608","-","13055 W MCDOWELL RD STE F101","AVONDALE","AZ","85392","15","KT/V COMPREHENSIVE","  97.41%","8","-","7","7"
"032609 SOUTHWEST KIDNEY DIALYSIS - TEMPE (DVA)","032609","-","2149 E WARNER RD STE 109 & STE 110","TEMPE","AZ","85284","15","KT/V COMPREHENSIVE","  96.29%","7","-","7","7"
"032610 SOUTHEAST VALLEY DIALYSIS (FMC)","032610","-","22715 S ELLSWORTH RD STE D","QUEEN CREEK","AZ","85142","15","KT/V COMPREHENSIVE","  97.16%","8","-","7","7"
"032611 SOUTHWEST KIDNEY DIALYSIS - PHOENIX (DVA)","032611","-","337 E CORONADO RD STE 101","PHOENIX","AZ","85004","15","KT/V COMPREHENSIVE","  98.10%","9","-","7","7"
"032612 SOUTHWEST KIDNEY DIALYSIS - ESTRELLA (DVA)","032612","-","8410 W THOMAS RD STE 100 BLDG 1","PHOENIX","AZ","85037","15","KT/V COMPREHENSIVE","  97.49%","8","-","7","7"
"032613 NORTHWEST TUCSON DIALYSIS (FMC)","032613","-","6261 N LA CHOLLA BLVD STE 181","TUCSON","AZ","85741","15","KT/V COMPREHENSIVE","  99.55%","10","-","7","7"
"032614 DOUGLAS DIALYSIS CENTER (DCI)","032614","-","99 E 16TH ST","DOUGLAS","AZ","85607","15","KT/V COMPREHENSIVE","  91.04%","0","-","7","7"
"032615 RIM COUNTRY DIALYSIS (DVA)","032615","-","809 W LONGHORN RD STE E","PAYSON","AZ","85541","15","KT/V COMPREHENSIVE","  94.90%","5","-","7","7"
"032616 DESERT DIALYSIS SAHUARITA (DCI)","032616","-","1700 W COMMERCE POINTE PL","SAHUARITA","AZ","85629","15","KT/V COMPREHENSIVE","  93.28%","3","-","7","7"
"032617 TUCSON WEST DIALYSIS CENTER (FMC)","032617","-","100 W GRANT RD","TUCSON","AZ","85705","15","KT/V COMPREHENSIVE","  96.47%","7","-","7","7"
"032618 NORTHWEST TUCSON DIALYSIS (DVA)","032618","-","2945 W INA RD STE 105","TUCSON","AZ","85741","15","KT/V COMPREHENSIVE","  98.15%","9","-","7","7"
"032619 MOUNTAIN VISTA DIALYSIS OF ARIZONA (DVA)","032619","-","10238 E HAMPTON AVE STE 108","MESA","AZ","85209","15","KT/V COMPREHENSIVE","  96.75%","7","-","7","7"
"032620 GRAND HOME DIALYSIS (DVA)","032620","-","14674 W MOUNTAIN VIEW BLVD STE 204","SURPRISE","AZ","85374","15","KT/V COMPREHENSIVE","  97.71%","8","-","7","7"
"032621 WEST BROOK DIALYSIS (DVA)","032621","-","13907 W CAMINO DEL SOL","SUN CITY WEST","AZ","85375","15","KT/V COMPREHENSIVE","  98.37%","9","-","7","7"
"032622 GOODYEAR DIALYSIS (FMC)","032622","-","500 N BULLARD AVE STE C34","GOODYEAR","AZ","85338","15","KT/V COMPREHENSIVE","  96.98%","8","-","7","7"
"032624 SOUTHWEST KIDNEY CENTRAL MESA (DVA)","032624","-","1134 E UNIVERSITY DR STE 101","MESA","AZ","85203","15","KT/V COMPREHENSIVE","  95.98%","6","-","7","7"
"032625 RAVEN DIALYSIS CENTER (DVA)","032625","-","3540 E BASELINE RD STE 110","PHOENIX","AZ","85042","15","KT/V COMPREHENSIVE","  98.86%","10","-","7","7"
"032626 MIDVALE PARK DIALYSIS (FMC)","032626","-","1430 W VALENCIA RD STE 1","TUCSON","AZ","85746","15","KT/V COMPREHENSIVE","  98.30%","9","-","7","7"
"032627 TUCSON CENTRAL DIALYSIS (DVA)","032627","-","2901 E GRANT RD","TUCSON","AZ","85716","15","KT/V COMPREHENSIVE","  95.79%","6","-","7","7"
"032628 KINGMAN DIALYSIS CLINIC (FMC)","032628","-","1721 AIRWAY AVE","KINGMAN","AZ","86409","15","KT/V COMPREHENSIVE","  95.03%","5","-","7","7"
"032629 SOUTH TUCSON DIALYSIS (FMC)","032629","-","2802 SOUTH 6TH AVE","TUCSON","AZ","85713","15","KT/V COMPREHENSIVE","  96.48%","7","-","7","7"
"032630 BROOKWOOD DIALYSIS CLINIC (DVA)","032630","-","8910 N 43RD AVE STE 107","GLENDALE","AZ","85302","15","KT/V COMPREHENSIVE","  98.25%","9","-","7","7"
"032631 OCOTILLO DIALYSIS (DVA)","032631","-","975 W CHANDLER HEIGHTS STE 101","CHANDLER","AZ","85248","15","KT/V COMPREHENSIVE","  98.17%","9","-","7","7"
"032632 RITA RANCH DIALYSIS (DVA)","032632","-","7355 S HOUGHTON RD STE 101","TUCSON","AZ","85747","15","KT/V COMPREHENSIVE","  95.30%","6","-","7","7"
"032633 SANTAN DIALYSIS (FMC)","032633","-","300 W HIGHWAY 287","FLORENCE","AZ","85132","15","KT/V COMPREHENSIVE","  97.51%","8","-","7","7"
"032634 SOUTHWEST KIDNEY DIALYSIS - MARYVALE (DVA)","032634","-","4845 W MCDOWELL RD STE 10A","PHOENIX","AZ","85035","15","KT/V COMPREHENSIVE","  94.90%","5","-","7","7"
"032635 GILBERT DIALYSIS (FMC)","032635","-","3511 MERCY RD STE 101","GILBERT","AZ","85297","15","KT/V COMPREHENSIVE","  94.79%","5","-","7","7"
"032636 DSI FLAGSTAFF","032636","-","2268 N WALGREENS ST","FLAGSTAFF","AZ","86004","15","KT/V COMPREHENSIVE","  97.71%","8","-","7","7"
"032637 WICKENBURG DIALYSIS (DVA)","032637","-","811 N TEGNER ST  #101","WICKENBURG","AZ","85390","15","KT/V COMPREHENSIVE","  99.12%","10","-","7","7"
"032638 POWER ROAD DIALYSIS (DVA)","032638","-","301 S POWER ROAD SUITE 104","MESA","AZ","85206","15","KT/V COMPREHENSIVE","  97.86%","9","-","7","7"
"032639 ESTRELLA MOUNTAIN DIALYSIS, LLC (ARA)","032639","-","9250 WEST THOMAS ROAD SUITE 120","PHOENIX","AZ","85037","15","KT/V COMPREHENSIVE","  97.93%","9","-","7","7"
"032640 SWEETWATER RIDGE DIALYSIS (DVA)","032640","-","7362 W THUNDERBIRD RD SUITE 104","PEORIA","AZ","85381","15","KT/V COMPREHENSIVE","  95.28%","6","-","7","7"
"032641 SCOTTSDALE DIALYSIS (DVA)","032641","-","5705 N SCOTTSDALE RD, STE 120","SCOTTSDALE","AZ","85250","15","KT/V COMPREHENSIVE","  94.12%","4","-","7","7"
"032642 SOUTHWEST KIDNEY/DAVITA-PHOENIX HOME DIALYSIS (DVA","032642","-","5115 E THOMAS RD STE 100","PHOENIX","AZ","85018","15","KT/V COMPREHENSIVE","  99.46%","10","-","7","7"
"032643 EAST TUCSON (FMC)","032643","-","5555 E 5TH ST #155","TUCSON","AZ","85711","15","KT/V COMPREHENSIVE","  96.50%","7","-","7","7"
"032644 EDGE RIVER (DVA)","032644","-","1197 S REDONDO CENTER DR","YUMA","AZ","85365","15","KT/V COMPREHENSIVE","  96.99%","8","-","7","7"
"032645 SOUTHWEST KIDNEY DAVITA DIALYSIS PARTNERS, LLC","032645","-","13430 N SAGUARO BLVD BLDG 3","FOUNTAIN HILLS","AZ","85268","15","KT/V COMPREHENSIVE","  94.70%","5","-","7","7"
"032646-FMC-GLENDALE TOWN CENTER","032646","-","4407 WEST PEORIA AVE","GLENDALE","AZ","85302","15","KT/V COMPREHENSIVE","  97.25%","8","-","7","7"
"032647-FMC NORTH MOUNTAIN","032647","-","16605 NORTH 28TH AVENUE SUITE 100","PHOENIX","AZ","85053","15","KT/V COMPREHENSIVE","  98.19%","9","-","7","7"
"032648-FMC OLD TOWN SCOTTSDALE","032648","-","4141 N SCOTTSDALE RD STE 100","SCOTTSDALE","AZ","85251","15","KT/V COMPREHENSIVE","  91.40%","1","-","7","7"
"032649 PEDIATRIC DIALYSIS CENTER OF PHOENIX LLC","032649","-","2545 EAST THOMAS ROAD SUITE 100","PHOENIX","AZ","85016","15","KT/V COMPREHENSIVE","  93.61%","4","-","7","7"
"032650 FRESENIUS KIDNEY CARE DESERT SAGE","032650","-","4901 W MCDOWELL ROAD SUITE 120","PHOENIX","AZ","85035","15","KT/V COMPREHENSIVE","  95.81%","6","-","7","7"
